id,created,updated,assetId,durationSeconds,aspectRatio,maxResolution,playbackId,streamUrl,posterUrl,references,sourceTypes,sourceDocs
759f2c05-d3f2-42f4-9526-930b3999db02,2025-05-21T01:43:21Z,2025-05-21T01:43:40Z,Pg01bwT3TJBaXeMmPwIHMwlqFl4Mj1Cvsssko32yIS4Q,6.006,1024:593,UHD,CPaDQGcgDS8dXVc5qRfjeQXmt9ZkOJeAa5xKhQJ00J00c,https://stream.mux.com/CPaDQGcgDS8dXVc5qRfjeQXmt9ZkOJeAa5xKhQJ00J00c.m3u8,https://image.mux.com/CPaDQGcgDS8dXVc5qRfjeQXmt9ZkOJeAa5xKhQJ00J00c/thumbnail.jpg?time=0,0,,
766bb7b7-8d4f-45fb-8e37-014d974006a4,2025-05-21T01:43:54Z,2025-05-21T01:44:43Z,aMzlaiOXJDWTps00aBsHESdXEscjVvpCvZzJKKMAxCSQ,6.042667,1050:419,UHD,C00dQMnocpgiLABkukVDHoVvyoiUO4XHp17nMgvEG9lE,https://stream.mux.com/C00dQMnocpgiLABkukVDHoVvyoiUO4XHp17nMgvEG9lE.m3u8,https://image.mux.com/C00dQMnocpgiLABkukVDHoVvyoiUO4XHp17nMgvEG9lE/thumbnail.jpg?time=0,0,,
842f9b11-6830-4bed-b525-f278b3fea5e9,2025-05-21T01:43:59Z,2025-05-21T01:45:22Z,sH3NVnJho2zmeA9dW1Gltd3xVf2PtqAaHLtGycxZeFc,20.042667,8:7,HD,WbJFyLD6mxcMXPqN3eHeWBc2GS3k1dCKhN4wgDBr3KU,https://stream.mux.com/WbJFyLD6mxcMXPqN3eHeWBc2GS3k1dCKhN4wgDBr3KU.m3u8,https://image.mux.com/WbJFyLD6mxcMXPqN3eHeWBc2GS3k1dCKhN4wgDBr3KU/thumbnail.jpg?time=0,0,,
b3a6d34d-a18b-4112-abde-cdd307de3092,2025-05-23T01:14:51Z,2025-05-23T01:18:10Z,MbMDCL2WHbNvJWR601XtpGDXotPHW00Gc02xAZFKY5w6eM,17.533333,58:45,HD,9NhgaJubuoIzbO6901BmDHZPm02eh94SMVxhmz01oUz0014,https://stream.mux.com/9NhgaJubuoIzbO6901BmDHZPm02eh94SMVxhmz01oUz0014.m3u8,https://image.mux.com/9NhgaJubuoIzbO6901BmDHZPm02eh94SMVxhmz01oUz0014/thumbnail.jpg?time=0,0,,
fde65a10-a945-47d6-828a-9c9a3adb2144,2025-05-26T16:40:32Z,2025-05-26T16:40:51Z,3u9KoyU9UXAVlrCp01t4R1LkVYy88002ZdcYfQQWuRoBg,16,16:9,HD,R5PRjj4b802UnLZ6d57s02LBsshvv00hYir1ZV8k5zF8T4,https://stream.mux.com/R5PRjj4b802UnLZ6d57s02LBsshvv00hYir1ZV8k5zF8T4.m3u8,https://image.mux.com/R5PRjj4b802UnLZ6d57s02LBsshvv00hYir1ZV8k5zF8T4/thumbnail.jpg?time=0,0,,
8a158614-8514-4e1d-b465-fa1b0aae30fb,2025-05-26T16:41:20Z,2025-05-26T16:50:41Z,lGehrHNubC5rRyW101YDm5d01fMRg4H02aUf7UUVow027zo,671.958333,16:9,UHD,hLPn01WUFXHxNWqy4vFACkZB2h8DNaMSK7MbNvc5qPhg,https://stream.mux.com/hLPn01WUFXHxNWqy4vFACkZB2h8DNaMSK7MbNvc5qPhg.m3u8,https://image.mux.com/hLPn01WUFXHxNWqy4vFACkZB2h8DNaMSK7MbNvc5qPhg/thumbnail.jpg?time=0,0,,
85e8d3ed-4a22-45b9-a81a-1cdbed4f5431,2025-06-03T19:31:41Z,2025-06-03T19:31:58Z,TQWpvOHsB02WSXrFo01Pr600pcI46wiQyTOWDJ2Dag02x1U,9.183333,4:3,HD,KdfvHSB2nj6VM5wZzdVblpOn9hlByp00GRXO0000GhOXj8,https://stream.mux.com/KdfvHSB2nj6VM5wZzdVblpOn9hlByp00GRXO0000GhOXj8.m3u8,https://image.mux.com/KdfvHSB2nj6VM5wZzdVblpOn9hlByp00GRXO0000GhOXj8/thumbnail.jpg?time=0,0,,
3caecd2d-5551-4609-935b-00c6d74501be,2025-06-04T01:10:34Z,2025-06-04T01:13:34Z,UFeBPBVeFpVx4do900JxiZkrfdIimk52ySMM01MABUgPs,11.033333,4:3,HD,h02zXcRrQfs4UHPbSvcrnB57DzM026P6TnAvXahpjOJTc,https://stream.mux.com/h02zXcRrQfs4UHPbSvcrnB57DzM026P6TnAvXahpjOJTc.m3u8,https://image.mux.com/h02zXcRrQfs4UHPbSvcrnB57DzM026P6TnAvXahpjOJTc/thumbnail.jpg?time=0,0,,
7bb8db5d-131e-43e4-b738-b094dfbf0865,2025-06-04T01:11:48Z,2025-06-04T01:12:03Z,92CX01s35wBRWG01QJxMu01VFirtmHVDy01nJMYrkF9yhU4,12.566667,4:3,HD,jc0161IiNZ9wsZW4D1xs02Qysy6hXDvvdqQR4yLy9ax01A,https://stream.mux.com/jc0161IiNZ9wsZW4D1xs02Qysy6hXDvvdqQR4yLy9ax01A.m3u8,https://image.mux.com/jc0161IiNZ9wsZW4D1xs02Qysy6hXDvvdqQR4yLy9ax01A/thumbnail.jpg?time=0,0,,
dc50e94c-abe3-486a-b6b7-929ba6ababc1,2025-06-04T01:13:10Z,2025-06-04T01:13:42Z,tBCbBe5ITAn59DBTV200UvX7LIPeA5fIkBMrA6THgVyc,8.25,4:3,HD,Nycw93ewqTHcKm00n51pSU02OP01RcGedDm02vOQm2Mi3qc,https://stream.mux.com/Nycw93ewqTHcKm00n51pSU02OP01RcGedDm02vOQm2Mi3qc.m3u8,https://image.mux.com/Nycw93ewqTHcKm00n51pSU02OP01RcGedDm02vOQm2Mi3qc/thumbnail.jpg?time=0,0,,
2b6bb200-b579-4751-bd60-2b5a1667a7ec,2025-06-04T01:16:49Z,2025-06-04T01:17:03Z,Zn2254S02k3e2vZWxfcw25e02G01PoYASbHPgy3KNUDa3w,11.033333,4:3,HD,sIgbymLnluPQPOqWXFoEwnBzVI6JuqgsCcyl9lclVIE,https://stream.mux.com/sIgbymLnluPQPOqWXFoEwnBzVI6JuqgsCcyl9lclVIE.m3u8,https://image.mux.com/sIgbymLnluPQPOqWXFoEwnBzVI6JuqgsCcyl9lclVIE/thumbnail.jpg?time=0,0,,
b9742d7c-4951-4b09-92d6-761d12c797ce,2025-06-04T01:19:07Z,2025-06-04T01:19:24Z,jWF5fkOyQcjFMrNpouotobSjKpZCWL16DuT9jqRjbQ4,11.033333,4:3,HD,Drnr2CLojru2wznuftqxYBQFkDaNJ1w5pei01cJroovw,https://stream.mux.com/Drnr2CLojru2wznuftqxYBQFkDaNJ1w5pei01cJroovw.m3u8,https://image.mux.com/Drnr2CLojru2wznuftqxYBQFkDaNJ1w5pei01cJroovw/thumbnail.jpg?time=0,0,,
fcd4191b-9b5d-46b3-8376-46037c83adc4,2025-06-04T14:57:48Z,2025-06-04T14:58:04Z,s4i4prQO4F28Yrh9FE5Zypt663EiAoLe2uyevPDPi9s,12.566667,4:3,HD,zybqUCuARahPBGuoyicIMiBmIxtU7xIUgaY72ZEX02Zw,https://stream.mux.com/zybqUCuARahPBGuoyicIMiBmIxtU7xIUgaY72ZEX02Zw.m3u8,https://image.mux.com/zybqUCuARahPBGuoyicIMiBmIxtU7xIUgaY72ZEX02Zw/thumbnail.jpg?time=0,0,,
4c36f3a4-4430-4df9-ae34-7e136be70ca3,2025-06-04T15:03:22Z,2025-06-04T15:03:45Z,l5AZy7va012Hn2YMoylQmZczFjX2PApg88USZaJW3KUA,8.25,4:3,HD,SMJaw02xnnceka8uAB401xUk01VPNot019vH9HDjzPSc5ZA,https://stream.mux.com/SMJaw02xnnceka8uAB401xUk01VPNot019vH9HDjzPSc5ZA.m3u8,https://image.mux.com/SMJaw02xnnceka8uAB401xUk01VPNot019vH9HDjzPSc5ZA/thumbnail.jpg?time=0,0,,
54b82fe9-334a-445e-839c-bf521fcaaf83,2025-06-04T15:05:59Z,2025-06-04T15:06:15Z,MbAnKhxNZ8EAKkS1g7gJG1k9WO00xD8PCNJkRGIBd444,9.35,4:3,HD,PVwHQpE41mYV4SAr7TTmBJm2Umww2BridbBwt4Xo7kM,https://stream.mux.com/PVwHQpE41mYV4SAr7TTmBJm2Umww2BridbBwt4Xo7kM.m3u8,https://image.mux.com/PVwHQpE41mYV4SAr7TTmBJm2Umww2BridbBwt4Xo7kM/thumbnail.jpg?time=0,0,,
46202382-1ec5-40bb-a5c2-b29c557d8a74,2025-06-04T15:07:41Z,2025-06-04T15:07:58Z,W7sfOlQ115fCaBPEh01OQo4HAtfzrWI3YltNww3f2o2Y,9.733333,4:3,HD,2YwRz8cBEHZJeXFrsn5G4XR5BF6dkw3OuSYDbHutXVU,https://stream.mux.com/2YwRz8cBEHZJeXFrsn5G4XR5BF6dkw3OuSYDbHutXVU.m3u8,https://image.mux.com/2YwRz8cBEHZJeXFrsn5G4XR5BF6dkw3OuSYDbHutXVU/thumbnail.jpg?time=0,0,,
ecd652ae-32a6-4836-a630-01d22151e03e,2025-06-04T15:29:39Z,2025-06-04T15:29:53Z,2uIDyUdBtEkShcyLfeolLyIM1QOt8cLtlnul9vzwmLk,11.533333,4:3,HD,SeoJLWBhfpUciIsNz5fAWswvWqDwblHnCKp5z502Nbzk,https://stream.mux.com/SeoJLWBhfpUciIsNz5fAWswvWqDwblHnCKp5z502Nbzk.m3u8,https://image.mux.com/SeoJLWBhfpUciIsNz5fAWswvWqDwblHnCKp5z502Nbzk/thumbnail.jpg?time=0,0,,
65a51cdb-687e-4e7a-b28d-c39d43485155,2025-06-04T15:32:57Z,2025-06-04T15:33:12Z,fiCzJiQGgfaN008rDZ00bKs00aouaHa000200tdkRcUH00Vdc8,15.233333,4:3,HD,CsXf1n59EEBv3ghJC5nX6CCpctYQH8JqQ6G8Rk3O46g,https://stream.mux.com/CsXf1n59EEBv3ghJC5nX6CCpctYQH8JqQ6G8Rk3O46g.m3u8,https://image.mux.com/CsXf1n59EEBv3ghJC5nX6CCpctYQH8JqQ6G8Rk3O46g/thumbnail.jpg?time=0,0,,
33614f96-98d8-4711-8fdc-8c792b5534d5,2025-06-05T15:54:42Z,2025-06-05T15:54:59Z,Vfpi3OmDED2oZMqEOlemF8hLXy1ezcEO92CmPV4e8a00,11.616667,4:3,HD,CsTpaPGeS1afSaAskRqyIjkcPUn3Qj01l6E7ABoBu1KY,https://stream.mux.com/CsTpaPGeS1afSaAskRqyIjkcPUn3Qj01l6E7ABoBu1KY.m3u8,https://image.mux.com/CsTpaPGeS1afSaAskRqyIjkcPUn3Qj01l6E7ABoBu1KY/thumbnail.jpg?time=0,0,,
aa2e9436-c686-440b-b479-1397744d26b2,2025-06-05T15:57:19Z,2025-06-05T15:57:33Z,lvpnZXl2hd8W2Q3lCaPwMjJ7LZPNo7oogSxVFiIQefs,11.5,337:270,HD,64OyZL1n8ZQgaMI81401jc9HSek2ioufHJMfekgMLooo,https://stream.mux.com/64OyZL1n8ZQgaMI81401jc9HSek2ioufHJMfekgMLooo.m3u8,https://image.mux.com/64OyZL1n8ZQgaMI81401jc9HSek2ioufHJMfekgMLooo/thumbnail.jpg?time=0,0,,
4d77c07f-3220-45c0-a466-3fdb616ce3ee,2025-06-05T15:58:25Z,2025-06-05T15:58:41Z,58IYSK01GeoL933scT8BCVEOIQk011B01YqjX9rj5zzmO4,12.266667,4:3,HD,jGbzKYB3eDeUJtR3iw8x1t5K9v6jUDjot454NSBJwPc,https://stream.mux.com/jGbzKYB3eDeUJtR3iw8x1t5K9v6jUDjot454NSBJwPc.m3u8,https://image.mux.com/jGbzKYB3eDeUJtR3iw8x1t5K9v6jUDjot454NSBJwPc/thumbnail.jpg?time=0,0,,
a408b7ea-0dd0-41a8-b876-e7095047ca39,2025-06-05T15:59:51Z,2025-06-05T16:00:08Z,502ceWu101hmWPcYbXRSyPw01wbOGNwbg02ef02EVlFyCW9k,10.2,4:3,HD,UBKSg00JNGMwMj02GUI6vlGzDyzQVPd5eEIi01eKIaJCOc,https://stream.mux.com/UBKSg00JNGMwMj02GUI6vlGzDyzQVPd5eEIi01eKIaJCOc.m3u8,https://image.mux.com/UBKSg00JNGMwMj02GUI6vlGzDyzQVPd5eEIi01eKIaJCOc/thumbnail.jpg?time=0,0,,
62d14a1c-b0f2-49c9-bcbf-c150ff0ce692,2025-06-05T16:03:25Z,2025-06-05T16:03:42Z,43leEeL8CUtT4szY8jB6UjscRD5wzzy00HlGdi01KAAKc,11.4,4:3,HD,vdofENZjqz02dKr7J7ZH8yD8M9T02LN47qRHwg1PhWHYA,https://stream.mux.com/vdofENZjqz02dKr7J7ZH8yD8M9T02LN47qRHwg1PhWHYA.m3u8,https://image.mux.com/vdofENZjqz02dKr7J7ZH8yD8M9T02LN47qRHwg1PhWHYA/thumbnail.jpg?time=0,0,,
4a76f7a0-d5b0-4bce-a8da-5d5de2ea2097,2025-06-05T16:04:29Z,2025-06-06T17:52:27Z,SP01lA3wkd4nqj6K7tZ3RpIfEKCi5ipabWichzPpcCaE,11.25,4:3,HD,P2aP2KWq4GERvnWT1qgKGe02BGoD1mfTBEz3YnHWqPfY,https://stream.mux.com/P2aP2KWq4GERvnWT1qgKGe02BGoD1mfTBEz3YnHWqPfY.m3u8,https://image.mux.com/P2aP2KWq4GERvnWT1qgKGe02BGoD1mfTBEz3YnHWqPfY/thumbnail.jpg?time=0,0,,
f56d1747-0540-47aa-8141-902377088cf0,2025-06-05T16:05:21Z,2025-06-05T16:05:37Z,dJczzovGXwa4CtX4JVE3O9QPm8vf1YOAyNJ900cYlXfo,13.833333,4:3,HD,ODDR01NcxfL5TZDFThMUw14dEHs02gA71wAmPhT2E7fK4,https://stream.mux.com/ODDR01NcxfL5TZDFThMUw14dEHs02gA71wAmPhT2E7fK4.m3u8,https://image.mux.com/ODDR01NcxfL5TZDFThMUw14dEHs02gA71wAmPhT2E7fK4/thumbnail.jpg?time=0,0,,
65d0e1fe-4b06-49c7-89af-c4873bc01949,2025-06-05T16:07:25Z,2025-06-05T16:07:40Z,GJ00mofom1D6YxHo2xQykUsmqG4ltbprltxRS006leAbw,12.166667,4:3,HD,H1FGPvaoyNt02h61wcJp1wrHehApRtpCKCGc2KSspqP4,https://stream.mux.com/H1FGPvaoyNt02h61wcJp1wrHehApRtpCKCGc2KSspqP4.m3u8,https://image.mux.com/H1FGPvaoyNt02h61wcJp1wrHehApRtpCKCGc2KSspqP4/thumbnail.jpg?time=0,0,,
20562603-b623-4541-ac1a-f7b02fffcae2,2025-06-06T13:44:40Z,2025-06-06T13:44:57Z,pnVcA7Qok02nuxGrlaLXTeEn02k01Iils5e01vRog026Kz1g,3.036367,1024:593,UHD,KWdzr4EDN6O3AXJG00c00wBPYg1W1upffVvQ6SscRf1jg,https://stream.mux.com/KWdzr4EDN6O3AXJG00c00wBPYg1W1upffVvQ6SscRf1jg.m3u8,https://image.mux.com/KWdzr4EDN6O3AXJG00c00wBPYg1W1upffVvQ6SscRf1jg/thumbnail.jpg?time=0,0,,
f6c7af57-11ab-4cd7-baa6-59c437b9e681,2025-06-06T15:00:11Z,2025-06-06T15:00:33Z,qWdrYCfr3hmKcGXnZcYO005gG7qQNEW9W87zQZHOakwY,10.733333,16:9,HD,026AEY8NTEuo01xUU00OMn39aHAUpNgNQRZDKOAf2Xql800,https://stream.mux.com/026AEY8NTEuo01xUU00OMn39aHAUpNgNQRZDKOAf2Xql800.m3u8,https://image.mux.com/026AEY8NTEuo01xUU00OMn39aHAUpNgNQRZDKOAf2Xql800/thumbnail.jpg?time=0,1,useCase,Learn
871b273f-31f4-4083-8692-d4c78c284a26,2025-06-06T17:43:26Z,2025-06-06T17:43:26Z,,,,,,,,0,,
3bfe695a-2842-4d2a-b27a-72d3556d6b8c,2025-06-06T17:43:49Z,2025-06-06T22:15:42Z,JZQgMfvgqP3KYbL01vWLJTUQUKpPGw024Qz8WNMarLkmA,9.633333,16:9,HD,51hA4MPhRPZ9QW2xRfOUlrH5qZHm01FZDKJGJNcRELpQ,https://stream.mux.com/51hA4MPhRPZ9QW2xRfOUlrH5qZHm01FZDKJGJNcRELpQ.m3u8,https://image.mux.com/51hA4MPhRPZ9QW2xRfOUlrH5qZHm01FZDKJGJNcRELpQ/thumbnail.jpg?time=0,0,,
50d1f7c2-54c6-4b45-a78e-d371c7abea6a,2025-06-06T17:44:12Z,2025-06-06T21:46:17Z,3TXOKttFUgWpkcJEzyEOxphBtmuY4GUmJN801FKZ2diI,11.866667,16:9,HD,EBdDd01jTJPrMpE01jVLAF7pTPEuoZ3VfpDPh4ZisF8PA,https://stream.mux.com/EBdDd01jTJPrMpE01jVLAF7pTPEuoZ3VfpDPh4ZisF8PA.m3u8,https://image.mux.com/EBdDd01jTJPrMpE01jVLAF7pTPEuoZ3VfpDPh4ZisF8PA/thumbnail.jpg?time=0,0,,
48bb9e5c-0778-4f62-8ee0-eaadfd43fccc,2025-06-06T17:44:36Z,2025-06-06T17:44:45Z,yNBKR1saI7O9O7jcj9Ig00dfoHy7Vy9ScRNUf700iZtqo,11.65,16:9,HD,noe1pP0200PHlDX2BMaXOJg01eoTZHPpi01dN8wbW2ZCtqg,https://stream.mux.com/noe1pP0200PHlDX2BMaXOJg01eoTZHPpi01dN8wbW2ZCtqg.m3u8,https://image.mux.com/noe1pP0200PHlDX2BMaXOJg01eoTZHPpi01dN8wbW2ZCtqg/thumbnail.jpg?time=0,1,useCase,Write
d81ff6f3-0cbb-493d-8fdf-f2db59c85d8c,2025-06-06T17:45:01Z,2025-06-06T17:45:19Z,nkOAJMh6g8cieno600I8OG2b7n6nTGUadovoDKp58lYk,10.2,16:9,HD,TZJmfmR4ksBqlPVjeeFHjqeWtIKwLFX59WPxBBldvdM,https://stream.mux.com/TZJmfmR4ksBqlPVjeeFHjqeWtIKwLFX59WPxBBldvdM.m3u8,https://image.mux.com/TZJmfmR4ksBqlPVjeeFHjqeWtIKwLFX59WPxBBldvdM/thumbnail.jpg?time=0,1,useCase,Write
bb81a44e-fb11-46f7-83df-ad368c613858,2025-06-06T17:47:15Z,2025-06-06T17:47:38Z,wtIIYplQaQnnPxJD6m7uG5zCOyAs3xRYiGJ4e7LVh400,13.016667,16:9,HD,01z8JQx9ptdyNoTR4sc44zJOhJp2uO51txN1cp00PmGWU,https://stream.mux.com/01z8JQx9ptdyNoTR4sc44zJOhJp2uO51txN1cp00PmGWU.m3u8,https://image.mux.com/01z8JQx9ptdyNoTR4sc44zJOhJp2uO51txN1cp00PmGWU/thumbnail.jpg?time=0,1,useCase,Learn
5f96ecfb-c6f3-40d4-9b88-d8b3d63f3c36,2025-06-06T17:49:57Z,2025-06-06T17:50:17Z,Jbww7256ykSnx9MCD00OPf8L9Ont2InOAgQ3KF1X7l2Q,10.75,16:9,HD,ecfgNCfsCrLS5JsAwORBcP4Ng54jnbv48lkpQFSUvr00,https://stream.mux.com/ecfgNCfsCrLS5JsAwORBcP4Ng54jnbv48lkpQFSUvr00.m3u8,https://image.mux.com/ecfgNCfsCrLS5JsAwORBcP4Ng54jnbv48lkpQFSUvr00/thumbnail.jpg?time=0,1,useCase,Learn
